Structure type,,count,mean,std,min,5%,50%,95%,max,skewness,kurtosis
Rectum ref,Major axis (equivalent ellipse),11.0,32.832514818181814,2.5691676732515463,30.170998,30.314441000000002,32.41137,37.030924999999996,39.47513,1.614641792190697,2.171042750601166
Rectum ref,Minor axis (equivalent ellipse),11.0,23.45274190909091,0.6327702496401763,22.642038,22.6539325,23.391651,24.211319500000002,24.348509,-0.0821816609454916,-1.4596104165710981
Rectum ref,Least axis (equivalent ellipse),11.0,15.73244309090909,0.8745536889380155,14.814322,14.8255825,15.69696,17.2073695,17.755863,1.1224979147750074,0.6012641536406269
Rectum ref,Elongation,11.0,0.7175659009090909,0.04986486851045322,0.60798085,0.644129725,0.71360517,0.7775313150000001,0.78997403,-0.6814932563538879,0.25155023701249934
Rectum ref,Flatness,11.0,0.4809392099999999,0.035767072590079274,0.42200947,0.438988485,0.477921,0.534120945,0.56429076,0.8203000257733905,1.1309622735886258
Rectum ref,L/R dimension at centroid,11.0,28.572727272727267,2.439299452339098,25.2,25.299999999999997,28.5,32.35,34.2,0.8147050561757005,0.8872466711384717
Rectum ref,A/P dimension at centroid,11.0,8.0,0.8012490249604051,5.8,6.85,8.1,8.8,9.1,-1.8704777060460738,3.6603051212624136
Rectum ref,S/I dimension at centroid,11.0,48.027272727272724,8.257855763948763,39.2,39.8,45.9,59.8,63.2,0.5608402035836163,-1.1169282068249475
Rectum ref,S/I arclength,11.0,74.01957227272727,11.72585966012799,61.45445,63.62484500000001,69.75692,93.17327750000001,102.60066,1.4151777256075164,1.1845411590399335
Urethra ref,Volume,11.0,1552.0,233.03390311283036,1278.0,1282.0,1484.0,1922.5,1948.0,0.6173443942710872,-0.9467752960464422
Urethra ref,Surface area,11.0,1143.6144936363637,181.8251267630518,925.03033,932.589465,1085.0422,1430.8653,1458.1826,0.6540779566432854,-0.9094346875052861
Urethra ref,Surface area to volume ratio,11.0,0.7361561854545454,0.014639507612878482,0.722352,0.72282665,0.7311605,0.75975082,0.7694322,1.1223419581867833,0.3173169481689371
Urethra ref,Sphericity,11.0,0.5702354590909091,0.03292280398236317,0.51728696,0.522644165,0.57935745,0.6119835199999999,0.61567104,-0.37673713601700776,-1.0569166420832596
Urethra ref,Compactness 1,11.0,0.02287048263636364,0.001967800767136057,0.019737683,0.020045882,0.023394769,0.025398867,0.025628427,-0.3432261561970396,-1.0597067035566328
Urethra ref,Compactness 2,11.0,0.18709662,0.031552951883100575,0.13841864,0.14280888,0.19446425,0.22922735,0.2333706,-0.2387078486220145,-1.0582783479853324
Urethra ref,Spherical disproportion,11.0,1.7591185454545455,0.10409074532151612,1.6242441,1.6340903500000001,1.7260501,1.9135487,1.933163,0.503508385332021,-1.0307555730529065
Urethra ref,Maximum 3D diameter,11.0,56.79587827272728,8.344047739803557,46.681328,46.771549,53.78271,69.8657275,71.19195,0.5803543662264739,-0.921350803908489
Urethra ref,PCA major,11.0,56.33069954545454,8.323156875242285,46.231236,46.335933,53.331493,69.4228095,70.735954,0.5922964780437628,-0.9058728747727391
Urethra ref,PCA minor,11.0,16.275720500000002,4.122514434366586,11.088612,11.666198999999999,16.112232,22.0545465,22.301079,0.2917946726303004,-1.395652984574996
Urethra ref,PCA least,11.0,6.725641400000001,0.8439494054016357,6.1021643,6.11066715,6.345854,8.190068700000001,8.713675,1.403982908296932,0.7225748250434094
Urethra ref,Major axis (equivalent ellipse),11.0,29.94924563636363,2.183412269048759,27.197422,27.2281835,29.211367,33.3266515,33.64187,0.5114994215673948,-0.9336877376343806
Urethra ref,Minor axis (equivalent ellipse),11.0,16.020494954545452,2.0324348947492568,13.319827,13.65813775,16.056019,18.784613,18.889606,0.19713993077067288,-1.4294479875937247
Urethra ref,Least axis (equivalent ellipse),11.0,10.356273545454545,0.6274089094645313,9.881023,9.887903000000001,10.076391,11.441462,11.807573,1.3433767723230399,0.523435099725742
Urethra ref,Elongation,11.0,0.5335851972727272,0.03836467281745125,0.46500632,0.475440725,0.5496497,0.57873565,0.58206296,-0.4555994007356772,-1.0445571390670725
Urethra ref,Flatness,11.0,0.3469509336363636,0.02580535850846808,0.2937121,0.3118164,0.34494764,0.38312714999999997,0.39408922,-0.19793898247569275,0.3750498563641025
Urethra ref,L/R dimension at centroid,11.0,1.8090909090909089,2.034922379578418,0.0,0.0,0.6,4.699999999999999,4.8,0.3468840715678438,-1.6295686620774743
Urethra ref,A/P dimension at centroid,11.0,5.790909090909091,0.43921417430348364,4.5,5.1,5.9,6.0,6.0,-2.6024269729393135,5.238322372950318
Urethra ref,S/I dimension at centroid,11.0,32.08181818181818,12.819190160210448,15.3,17.1,28.7,49.2,51.2,0.18668001811394916,-1.4805153051418183
Urethra ref,S/I arclength,11.0,61.626511,11.165837637494109,48.262257,48.7100775,58.801052,79.0816495,80.092285,0.5845207654735306,-1.014997373562008
